wkt,id
"MULTIPOLYGON (((-9.16843036854486 38.7334487820939, -9.1702269991131 38.7334487820939, -9.1702269991131 38.734850257442, -9.16843036854486 38.734850257442, -9.16843036854486 38.7334487820939)))",1481
"MULTIPOLYGON (((-9.16843036854486 38.7320472792483, -9.1702269991131 38.7320472792483, -9.1702269991131 38.7334487820939, -9.16843036854486 38.7334487820939, -9.16843036854486 38.7320472792483)))",1422
"MULTIPOLYGON (((-9.16304047684015 38.7628739895034, -9.16483710740839 38.7628739895034, -9.16483710740839 38.7642748873384, -9.16304047684015 38.7642748873384, -9.16304047684015 38.7628739895034)))",2797
"MULTIPOLYGON (((-9.16483710740839 38.7684774158187, -9.16663373797663 38.7684774158187, -9.16663373797663 38.7698782036363, -9.16483710740839 38.7698782036363, -9.16483710740839 38.7684774158187)))",3034
"MULTIPOLYGON (((-9.16483710740839 38.7670766004963, -9.16663373797663 38.7670766004963, -9.16663373797663 38.7684774158187, -9.16483710740839 38.7684774158187, -9.16483710740839 38.7670766004963)))",2975
"MULTIPOLYGON (((-9.15405732399895 38.7824840562296, -9.15585395456719 38.7824840562296, -9.15585395456719 38.7838845689828, -9.15405732399895 38.7838845689828, -9.15405732399895 38.7824840562296)))",3546
"MULTIPOLYGON (((-9.15405732399895 38.7838845689828, -9.15585395456719 38.7838845689828, -9.15585395456719 38.785285054228, -9.15405732399895 38.785285054228, -9.15405732399895 38.7838845689828)))",3581
"MULTIPOLYGON (((-9.15046406286248 38.7880859421931, -9.15226069343071 38.7880859421931, -9.15226069343071 38.7894863449123, -9.15046406286248 38.7894863449123, -9.15046406286248 38.7880859421931)))",3660
"MULTIPOLYGON (((-9.14866743229424 38.7880859421931, -9.15046406286248 38.7880859421931, -9.15046406286248 38.7894863449123, -9.14866743229424 38.7894863449123, -9.14866743229424 38.7880859421931)))",3661
"MULTIPOLYGON (((-9.15226069343071 38.7866855119649, -9.15405732399895 38.7866855119649, -9.15405732399895 38.7880859421931, -9.15226069343071 38.7880859421931, -9.15226069343071 38.7866855119649)))",3637
"MULTIPOLYGON (((-9.18100678252254 38.7418572217123, -9.18280341309078 38.7418572217123, -9.18280341309078 38.7432585320702, -9.18100678252254 38.7432585320702, -9.18100678252254 38.7418572217123)))",1832
"MULTIPOLYGON (((-9.18100678252254 38.7432585320702, -9.18280341309078 38.7432585320702, -9.18280341309078 38.7446598149285, -9.18100678252254 38.7446598149285, -9.18100678252254 38.7432585320702)))",1894
"MULTIPOLYGON (((-9.18460004365902 38.7432585320702, -9.18639667422726 38.7432585320702, -9.18639667422726 38.7446598149285, -9.18460004365902 38.7446598149285, -9.18460004365902 38.7432585320702)))",1892
"MULTIPOLYGON (((-9.18280341309078 38.7432585320702, -9.18460004365902 38.7432585320702, -9.18460004365902 38.7446598149285, -9.18280341309078 38.7446598149285, -9.18280341309078 38.7432585320702)))",1893
"MULTIPOLYGON (((-9.18639667422726 38.7432585320702, -9.1881933047955 38.7432585320702, -9.1881933047955 38.7446598149285, -9.18639667422726 38.7446598149285, -9.18639667422726 38.7432585320702)))",1891
"MULTIPOLYGON (((-9.1881933047955 38.7432585320702, -9.18998993536373 38.7432585320702, -9.18998993536373 38.7446598149285, -9.1881933047955 38.7446598149285, -9.1881933047955 38.7432585320702)))",1890
"MULTIPOLYGON (((-9.18998993536373 38.7432585320702, -9.19178656593197 38.7432585320702, -9.19178656593197 38.7446598149285, -9.18998993536373 38.7446598149285, -9.18998993536373 38.7432585320702)))",1889
"MULTIPOLYGON (((-9.19178656593197 38.7432585320702, -9.19358319650021 38.7432585320702, -9.19358319650021 38.7446598149285, -9.19178656593197 38.7446598149285, -9.19178656593197 38.7432585320702)))",1888
"MULTIPOLYGON (((-9.19358319650021 38.7432585320702, -9.19537982706845 38.7432585320702, -9.19537982706845 38.7446598149285, -9.19358319650021 38.7446598149285, -9.19358319650021 38.7432585320702)))",1887
"MULTIPOLYGON (((-9.19897308820493 38.7404558838553, -9.20076971877317 38.7404558838553, -9.20076971877317 38.7418572217123, -9.19897308820493 38.7418572217123, -9.19897308820493 38.7404558838553)))",1761
"MULTIPOLYGON (((-9.20076971877317 38.7404558838553, -9.20256634934141 38.7404558838553, -9.20256634934141 38.7418572217123, -9.20076971877317 38.7418572217123, -9.20076971877317 38.7404558838553)))",1760
"MULTIPOLYGON (((-9.20256634934141 38.7404558838553, -9.20436297990965 38.7404558838553, -9.20436297990965 38.7418572217123, -9.20256634934141 38.7418572217123, -9.20256634934141 38.7404558838553)))",1759
"MULTIPOLYGON (((-9.20256634934141 38.7390545184995, -9.20436297990965 38.7390545184995, -9.20436297990965 38.7404558838553, -9.20256634934141 38.7404558838553, -9.20256634934141 38.7390545184995)))",1699
"MULTIPOLYGON (((-9.20436297990965 38.7390545184995, -9.20615961047788 38.7390545184995, -9.20615961047788 38.7404558838553, -9.20436297990965 38.7404558838553, -9.20436297990965 38.7390545184995)))",1698
"MULTIPOLYGON (((-9.20436297990965 38.7404558838553, -9.20615961047788 38.7404558838553, -9.20615961047788 38.7418572217123, -9.20436297990965 38.7418572217123, -9.20436297990965 38.7404558838553)))",1758
"MULTIPOLYGON (((-9.1881933047955 38.7474622981459, -9.18998993536373 38.7474622981459, -9.18998993536373 38.7488634985042, -9.1881933047955 38.7488634985042, -9.1881933047955 38.7474622981459)))",2082
"MULTIPOLYGON (((-9.18639667422726 38.7516658167186, -9.1881933047955 38.7516658167186, -9.1881933047955 38.7530669345741, -9.18639667422726 38.7530669345741, -9.18639667422726 38.7516658167186)))",2279
"MULTIPOLYGON (((-9.18460004365902 38.7530669345741, -9.18639667422726 38.7530669345741, -9.18639667422726 38.7544680249281, -9.18460004365902 38.7544680249281, -9.18460004365902 38.7530669345741)))",2345
"MULTIPOLYGON (((-9.17561689081782 38.7572701231303, -9.17741352138606 38.7572701231303, -9.17741352138606 38.758671130978, -9.17561689081782 38.758671130978, -9.17561689081782 38.7572701231303)))",2544
"MULTIPOLYGON (((-9.17202362968134 38.7572701231303, -9.17382026024958 38.7572701231303, -9.17382026024958 38.758671130978, -9.17202362968134 38.758671130978, -9.17202362968134 38.7572701231303)))",2546
"MULTIPOLYGON (((-9.17382026024958 38.7572701231303, -9.17561689081782 38.7572701231303, -9.17561689081782 38.758671130978, -9.17382026024958 38.758671130978, -9.17382026024958 38.7572701231303)))",2545
"MULTIPOLYGON (((-9.1702269991131 38.7572701231303, -9.17202362968134 38.7572701231303, -9.17202362968134 38.758671130978, -9.1702269991131 38.758671130978, -9.1702269991131 38.7572701231303)))",2547
"MULTIPOLYGON (((-9.16843036854486 38.7572701231303, -9.1702269991131 38.7572701231303, -9.1702269991131 38.758671130978, -9.16843036854486 38.758671130978, -9.16843036854486 38.7572701231303)))",2548
"MULTIPOLYGON (((-9.16304047684015 38.7572701231303, -9.16483710740839 38.7572701231303, -9.16483710740839 38.758671130978, -9.16304047684015 38.758671130978, -9.16304047684015 38.7572701231303)))",2551
"MULTIPOLYGON (((-9.16124384627191 38.7572701231303, -9.16304047684015 38.7572701231303, -9.16304047684015 38.758671130978, -9.16124384627191 38.758671130978, -9.16124384627191 38.7572701231303)))",2552
"MULTIPOLYGON (((-9.15944721570367 38.7572701231303, -9.16124384627191 38.7572701231303, -9.16124384627191 38.758671130978, -9.15944721570367 38.758671130978, -9.15944721570367 38.7572701231303)))",2553
"MULTIPOLYGON (((-9.15765058513543 38.7572701231303, -9.15944721570367 38.7572701231303, -9.15944721570367 38.758671130978, -9.15765058513543 38.758671130978, -9.15765058513543 38.7572701231303)))",2554
"MULTIPOLYGON (((-9.15765058513543 38.758671130978, -9.15944721570367 38.758671130978, -9.15944721570367 38.7600721113229, -9.15765058513543 38.7600721113229, -9.15765058513543 38.758671130978)))",2616
"MULTIPOLYGON (((-9.15046406286248 38.7600721113229, -9.15226069343071 38.7600721113229, -9.15226069343071 38.7614730641648, -9.15046406286248 38.7614730641648, -9.15046406286248 38.7600721113229)))",2682
"MULTIPOLYGON (((-9.15226069343071 38.7600721113229, -9.15405732399895 38.7600721113229, -9.15405732399895 38.7614730641648, -9.15226069343071 38.7614730641648, -9.15226069343071 38.7600721113229)))",2681
"MULTIPOLYGON (((-9.13249775718008 38.7628739895034, -9.13429438774832 38.7628739895034, -9.13429438774832 38.7642748873384, -9.13249775718008 38.7642748873384, -9.13249775718008 38.7628739895034)))",2814
"MULTIPOLYGON (((-9.14866743229424 38.7614730641648, -9.15046406286248 38.7614730641648, -9.15046406286248 38.7628739895034, -9.14866743229424 38.7628739895034, -9.14866743229424 38.7614730641648)))",2744
"MULTIPOLYGON (((-9.146870801726 38.7614730641648, -9.14866743229424 38.7614730641648, -9.14866743229424 38.7628739895034, -9.146870801726 38.7628739895034, -9.146870801726 38.7614730641648)))",2745
"MULTIPOLYGON (((-9.14507417115776 38.7614730641648, -9.146870801726 38.7614730641648, -9.146870801726 38.7628739895034, -9.14507417115776 38.7628739895034, -9.14507417115776 38.7614730641648)))",2746
"MULTIPOLYGON (((-9.14866743229424 38.7600721113229, -9.15046406286248 38.7600721113229, -9.15046406286248 38.7614730641648, -9.14866743229424 38.7614730641648, -9.14866743229424 38.7600721113229)))",2683
"MULTIPOLYGON (((-9.16843036854486 38.7292441910665, -9.1702269991131 38.7292441910665, -9.1702269991131 38.7306457489058, -9.16843036854486 38.7306457489058, -9.16843036854486 38.7292441910665)))",1303
"MULTIPOLYGON (((-9.16843036854486 38.7306457489058, -9.1702269991131 38.7306457489058, -9.1702269991131 38.7320472792483, -9.16843036854486 38.7320472792483, -9.16843036854486 38.7306457489058)))",1362
"MULTIPOLYGON (((-9.1702269991131 38.7278426057307, -9.17202362968134 38.7278426057307, -9.17202362968134 38.7292441910665, -9.1702269991131 38.7292441910665, -9.1702269991131 38.7278426057307)))",1242
"MULTIPOLYGON (((-9.17202362968134 38.7264409928988, -9.17382026024958 38.7264409928988, -9.17382026024958 38.7278426057307, -9.17202362968134 38.7278426057307, -9.17202362968134 38.7264409928988)))",1182
"MULTIPOLYGON (((-9.17202362968134 38.7278426057307, -9.17382026024958 38.7278426057307, -9.17382026024958 38.7292441910665, -9.17202362968134 38.7292441910665, -9.17202362968134 38.7278426057307)))",1241
"MULTIPOLYGON (((-9.17202362968134 38.7222359894292, -9.17382026024958 38.7222359894292, -9.17382026024958 38.7236376847477, -9.17202362968134 38.7236376847477, -9.17202362968134 38.7222359894292)))",1011
"MULTIPOLYGON (((-9.17202362968134 38.725039352571, -9.17382026024958 38.725039352571, -9.17382026024958 38.7264409928988, -9.17202362968134 38.7264409928988, -9.17202362968134 38.725039352571)))",1124
"MULTIPOLYGON (((-9.17741352138606 38.7236376847477, -9.1792101519543 38.7236376847477, -9.1792101519543 38.725039352571, -9.17741352138606 38.725039352571, -9.17741352138606 38.7236376847477)))",1064
"MULTIPOLYGON (((-9.17382026024958 38.7236376847477, -9.17561689081782 38.7236376847477, -9.17561689081782 38.725039352571, -9.17382026024958 38.725039352571, -9.17382026024958 38.7236376847477)))",1066
"MULTIPOLYGON (((-9.17561689081782 38.7236376847477, -9.17741352138606 38.7236376847477, -9.17741352138606 38.725039352571, -9.17561689081782 38.725039352571, -9.17561689081782 38.7236376847477)))",1065
"MULTIPOLYGON (((-9.17561689081782 38.7222359894292, -9.17741352138606 38.7222359894292, -9.17741352138606 38.7236376847477, -9.17561689081782 38.7236376847477, -9.17561689081782 38.7222359894292)))",1009
"MULTIPOLYGON (((-9.17382026024958 38.7222359894292, -9.17561689081782 38.7222359894292, -9.17561689081782 38.7236376847477, -9.17382026024958 38.7236376847477, -9.17382026024958 38.7222359894292)))",1010
"MULTIPOLYGON (((-9.17561689081782 38.7194325163075, -9.17741352138606 38.7194325163075, -9.17741352138606 38.7208342666157, -9.17561689081782 38.7208342666157, -9.17561689081782 38.7194325163075)))",896
"MULTIPOLYGON (((-9.17561689081782 38.7208342666157, -9.17741352138606 38.7208342666157, -9.17741352138606 38.7222359894292, -9.17561689081782 38.7222359894292, -9.17561689081782 38.7208342666157)))",953
"MULTIPOLYGON (((-9.17382026024958 38.7194325163075, -9.17561689081782 38.7194325163075, -9.17561689081782 38.7208342666157, -9.17382026024958 38.7208342666157, -9.17382026024958 38.7194325163075)))",897
"MULTIPOLYGON (((-9.17382026024958 38.7208342666157, -9.17561689081782 38.7208342666157, -9.17561689081782 38.7222359894292, -9.17382026024958 38.7222359894292, -9.17382026024958 38.7208342666157)))",954
"MULTIPOLYGON (((-9.17202362968134 38.7208342666157, -9.17382026024958 38.7208342666157, -9.17382026024958 38.7222359894292, -9.17202362968134 38.7222359894292, -9.17202362968134 38.7208342666157)))",955
"MULTIPOLYGON (((-9.20436297990965 38.7376531256452, -9.20615961047788 38.7376531256452, -9.20615961047788 38.7390545184995, -9.20436297990965 38.7390545184995, -9.20436297990965 38.7376531256452)))",1638
"MULTIPOLYGON (((-9.1792101519543 38.7236376847477, -9.18100678252254 38.7236376847477, -9.18100678252254 38.725039352571, -9.1792101519543 38.725039352571, -9.1792101519543 38.7236376847477)))",1063
